País,Miles euros,Tasa de Cobertura
Alemania,"378383,418","123,8"
Francia,"363926,111","201,6"
Estados Unidos,"179075,079","134,1"
Reino Unido,"175770,653",457
Italia,"140516,279","138,8"
Bélgica,"127849,243","300,3"
Países Bajos,"124597,386",83
Portugal,"107281,203","158,8"
Polonia,"56169,27","137,7"
República Popular China,"50872,088","31,8"
Turquía,"49754,465","261,6"
México,"42837,959","26,1"
República Checa,"36273,155","178,4"
Austria,"32677,349","142,6"
Suecia,"31429,65","113,3"
Suiza,"30044,043","256,3"
Marruecos,"27337,635","1110,1"
Israel,"26062,416","909,5"
Brasil,"22374,076","67,4"
Noruega,"19939,171","32,1"
Hungría,"19379,116",166
Eslovaquia,"17842,31","135,8"
Dinamarca,"16599,5","293,4"
Rumanía,"16282,148","135,1"
India,"15218,399","25,7"
